titulo,descripcion,categoria
EE.UU. pudo cometer un crimen de guerra al hacer pasar por civil un avión militar en el primer ataque a una narcolancha,El periódico publica una investigación que apunta a que EE.UU. habría cometido perfidia durante uno de sus ataques en alta mar,Internacional
Rusia lanza 25 misiles y casi 300 drones en un nuevo ataque masivo a Ucrania,"Jarkov, 13 ene (EFE).- Rusia lanzó durante la pasada noche contra territorio ucraniano 25 misiles y ...",Internacional
Un bombardeo ruso deja al menos dos muertos en las afueras de Járkov y un incendio en un ambulatorio infantil,Una central térmica ha resultado dañada en ataque que involucró casi 300 drones y 25 misiles con temperaturas que bajan hasta los menos 15 grados,Internacional
Al menos cuatro palestinos mueren a causa del fuerte temporal que asola la Franja de Gaza,"Ciudad de Gaza, 13 ene (EFE).- Al menos cuatro palestinos perdieron la vida este martes a causa de l...",Internacional
Varios aeropuertos limitan las salidas y llegadas por la ola de frío que azota Europa,Las capas de hielo formadas en las pistas han obligado a las autoridades a cancelar vuelos,Internacional
"El Pentágono integra en sus servicios de inteligencia artificial a Grok, la plataforma de Elon Musk",Se une al servicio de IA generativa de Google en medio de una «nueva estrategia de aceleración» en este campo,Internacional
Nueva noche de protestas en varias ciudades de Irán,**RESTRICTIONS: NO Access Israel Media/Persian Language TV Stations Outside Iran/Strictly No Access ...,Internacional
Cuatro personas pierden la vida en la Franja de Gaza a causa del temporal,"Ciudad de Gaza, 13 ene (EFE).- Al menos cuatro palestinos perdieron la vida este martes a causa de l...",Internacional
El temporal que afecta a la Franja de Gaza deja cuatro muertos,"Ciudad de Gaza, 13 ene (EFE).- Al menos cuatro palestinos perdieron la vida este martes a causa de l...",Internacional
Nueva noche de protestas en las ciudades iraníes,**RESTRICTIONS: NO Access Israel Media/Persian Language TV Stations Outside Iran/Strictly No Access ...,Internacional
Járkov sufre un ataque ruso durante la noche,"Kiev, 13 ene (EFE).- Rusia lanzó durante la pasada noche contra territorio ucraniano 25 misiles y ce...",Internacional
Estados Unidos evita hablar de Groenlandia con los europeos,Berlín descarta una «invasión» estadounidense a la isla ártica tras reunirse con Washington,Internacional
Al menos un muerto y 35 heridos tras ser alcanzados por una ola de seis metros de altura en una playa de Argentina,La víctima es un hombre de 29 años que perdió el control y se golpeó contra las rocas,Internacional
"EEUU afirma que ""la diplomacia es la primera opción"" pero no descarta bombardear Irán","En plena ola de protestas en Iran, la Casa Blanca ha afirmado que ""la diplomacia siempre es la...",Internacional
Rutte defiende que la seguridad de Groenlandia «deber ser una prioridad» para la OTAN,Algunos miembros europeos de la Alianza proponen una misión conjunta en la isla danesa para intentar desactivar el argumento de Trump de que la seguridad no está garantizada,Internacional
Trump anuncia un arancel del 25% a todo país que comercie con Teherán,El presidente estadounidense aseguró que la medida sería «efectiva inmediatamente» y que su orden es «final y concluyente»,Internacional
Muere abatido a tiros el exlíder nacionalista Alain Orsoni en el funeral de su madre en Córcega,Ya había sido objeto de un complot para asesinarlo en 2008,Internacional
Delcy maniobra en secreto en Washington con una delegación de turistas para acelerar contactos con EE.UU.,"La presidenta encargada intenta acelerar contactos con EE.UU. mediante enviados con visados de turista, ante el próximo encuentro entre Trump y María Corina Machado",Internacional
La pugna entre Delcy y María Corina para conquistar a Trump,"Mientras la Casa Blanca prepara el encuentro con la líder opositora, el entorno de la presidenta encargada maniobra en Washington con enviados irregulares y contactos al límite de la legalidad",Internacional
"Trump se ocupa del petróleo y Delcy, de Diosdado",CLAVES DE LATINOAMÉRICA,Internacional
El apagón informativo de Irán: sin redes sociales ni prensa extranjera sobre el terreno,"El bloqueo de internet, unido a la dificultad de los periodistas para entrar en el país, hacen muy difícil saber qué ocurre realmente en la República Islámica",Internacional
El juez expulsa a uno de los abogados que pretendía asumir la defensa de Maduro,"Bruce Fein, exalto cargo del Departamento de Justicia en la presidencia de Ronald Reagan solicitó ante el juez ser reconocido como abogado del dictador",Internacional
Familiares de presos políticos en Venezuela completan cinco noches esperando su liberación,"Caracas, 12 ene (EFE).- Los familiares de los presos políticos en Venezuela cumplen este lunes, entr...",Internacional
Un diputado republicano introduce una propuesta legislativa para la anexión de Groenlandia,"La propuesta de Randy Fine, un aliado de Trump, respalda que el presidente de EE.UU. «dé los pasos necesarios» para la «anexión o adquisición de Groenlandia como territorio de EE.UU.»",Internacional
Impaciencia marca quinta noche de espera por liberación de presos políticos en Venezuela,"Caracas, 12 ene (EFE).- Los familiares de los presos políticos en Venezuela cumplen este lunes, entr...",Internacional
Impaciencia tras cinco noches de espera por liberación de presos políticos en Venezuela,"Caracas, 12 ene (EFE).- Los familiares de los presos políticos en Venezuela cumplen este lunes, entr...",Internacional
"¿Por qué donde termina el imperio de la ley, empieza el imperio de Trump?",PEDRO RODRÍGUEZ,Internacional
Irán y EE.UU. se debaten entre la guerra y el diálogo en medio de las protestas,El jefe de la diplomacia iraní fue la cara de un régimen que trató de mostrar una imagen de tranquilidad después de más dos semanas de manifestaciones: «Está todo bajo control»,Internacional
Trump anuncia un arancel del 25 por ciento contra cualquier país que haga negocios con Irán,"El presidente estadounidense, Donald Trump, ha anunciado este lunes la aplicación con efecto...",Internacional
