titulo,descripcion,categoria,texto_completo,texto_limpio
"Festival de embarcaciones históricas conectará La Spezia, Sète y Castelló","París, 12 ene (EFE).- El festival de las tradiciones marítimas 'Escala en Sète', organizado en esa l...",Economia,"Festival de embarcaciones históricas conectará La Spezia, Sète y Castelló París, 12 ene (EFE).- El festival de las tradiciones marítimas 'Escala en Sète', organizado en esa l...",festival embarcaciones historicas conectara spezia sete castello paris festival tradiciones maritimas escala sete organizado l
Paramount demanda a Warner Bros Discovery por su acuerdo con Netflix,La compañía busca frenar la fusión y exige conocer los detalles financieros del acuerdo millonario para proteger a los accionistas,Economia,Paramount demanda a Warner Bros Discovery por su acuerdo con Netflix La compañía busca frenar la fusión y exige conocer los detalles financieros del acuerdo millonario para proteger a los accionistas,paramount demanda warner bros discovery acuerdo netflix compania busca frenar fusion exige conocer detalles financieros acuerdo millonario proteger accionistas
"El festival 'Escala en Sète' impulsa el intercambio cultural entre Italia, Francia y España","París, 12 ene (EFE).- El festival de las tradiciones marítimas 'Escala en Sète', organizado en esa l...",Economia,"El festival 'Escala en Sète' impulsa el intercambio cultural entre Italia, Francia y España París, 12 ene (EFE).- El festival de las tradiciones marítimas 'Escala en Sète', organizado en esa l...",festival escala sete impulsa intercambio cultural italia francia espana paris festival tradiciones maritimas escala sete organizado l
"Sumar insiste en la propuesta de ""garantizar un suelo mínimo de financiación""","Madrid, 12 ene (EFE).- La coordinadora de Movimiento Sumar, Lara Hernández, ha señalado este lunes e...",Economia,"Sumar insiste en la propuesta de ""garantizar un suelo mínimo de financiación"" Madrid, 12 ene (EFE).- La coordinadora de Movimiento Sumar, Lara Hernández, ha señalado este lunes e...",sumar insiste propuesta garantizar suelo minimo financiacion madrid coordinadora movimiento sumar lara hernandez senalado e
"Sánchez ""trabajará"" con Sumar el decreto de incentivos a caseros ante sus críticas","El presidente del Gobierno, Pedro Sánchez, ha afirmado este lunes que trabajará con su socio de...",Economia,"Sánchez ""trabajará"" con Sumar el decreto de incentivos a caseros ante sus críticas El presidente del Gobierno, Pedro Sánchez, ha afirmado este lunes que trabajará con su socio de...",sanchez trabajara sumar decreto incentivos caseros criticas presidente gobierno pedro sanchez afirmado trabajara socio
"Jesús Gómez del Río, nuevo chief strategy y Fernando Martín, director general de Bupa Global LatinAmerica",NOMBRAMIENTOS EN SANITAS Y BUPA ELA,Economia,"Jesús Gómez del Río, nuevo chief strategy y Fernando Martín, director general de Bupa Global LatinAmerica NOMBRAMIENTOS EN SANITAS Y BUPA ELA",jesus gomez rio chief strategy fernando martin director general bupa global latinamerica nombramientos sanitas bupa ela
Ericsson España anuncia su intención de acometer un despido colectivo,La empresa cuenta con alrededor de 2.400 trabajadores en España en estos momentos,Economia,Ericsson España anuncia su intención de acometer un despido colectivo La empresa cuenta con alrededor de 2.400 trabajadores en España en estos momentos,ericsson espana anuncia intencion acometer despido colectivo empresa cuenta alrededor trabajadores espana momentos
Podemos coincide con Sumar al reclamar un suelo mínimo de financiación autonómica,"Madrid, 12 ene (EFE).- Podemos considera insuficiente el nuevo modelo de financiación autonómica pro...",Economia,"Podemos coincide con Sumar al reclamar un suelo mínimo de financiación autonómica Madrid, 12 ene (EFE).- Podemos considera insuficiente el nuevo modelo de financiación autonómica pro...",podemos coincide sumar reclamar suelo minimo financiacion autonomica madrid podemos considera insuficiente modelo financiacion autonomica pro
"Feijóo avisa a los catalanes de que el pacto de financiación es ""una tomadura de pelo""","Barcelona, 12 ene (EFE).- El líder del PP, Alberto Núñez Feijóo, ha avisado este lunes a los catalan...",Economia,"Feijóo avisa a los catalanes de que el pacto de financiación es ""una tomadura de pelo"" Barcelona, 12 ene (EFE).- El líder del PP, Alberto Núñez Feijóo, ha avisado este lunes a los catalan...",feijoo avisa catalanes pacto financiacion tomadura pelo barcelona lider pp alberto nunez feijoo avisado catalan
"Amor (ATA) avisa de que una subida del SMI del 3,1 % es ""inasumible"" para los autónomos","Madrid, 12 ene (EFE).- El presidente de ATA y vicepresidente de la CEOE, Lorenzo Amor, ha advertid...",Economia,"Amor (ATA) avisa de que una subida del SMI del 3,1 % es ""inasumible"" para los autónomos Madrid, 12 ene (EFE).- El presidente de ATA y vicepresidente de la CEOE, Lorenzo Amor, ha advertid...",amor ata avisa subida smi inasumible autonomos madrid presidente ata vicepresidente ceoe lorenzo amor advertid
Ganaderos y agricultores protestan contra el pacto UE-Mercosur en A Coruña,"A Coruña, 12 ene (EFE).- Un grupo de ganaderos y agricultores se han concentrado este lunes frente a...",Economia,"Ganaderos y agricultores protestan contra el pacto UE-Mercosur en A Coruña A Coruña, 12 ene (EFE).- Un grupo de ganaderos y agricultores se han concentrado este lunes frente a...",ganaderos agricultores protestan pacto unioneuropea mercosur coruna coruna grupo ganaderos agricultores concentrado frente
Sumar no apoyará los incentivos fiscales a los propietarios que no suban el alquiler,"Madrid, 12 ene (EFE).- El ministro de Derechos Sociales, Pablo Bustinduy, ha asegurado este lunes qu...",Economia,"Sumar no apoyará los incentivos fiscales a los propietarios que no suban el alquiler Madrid, 12 ene (EFE).- El ministro de Derechos Sociales, Pablo Bustinduy, ha asegurado este lunes qu...",sumar apoyara incentivos fiscales propietarios suban alquiler madrid ministro derechos sociales pablo bustinduy asegurado qu
"El Govern sitúa frente a la nueva empresa de Rodalies al director del Metro, Òscar Playà","Barcelona, 12 ene (EFE).- El Govern ha designado a Òscar Playà, actual director de la Red de Metro d...",Economia,"El Govern sitúa frente a la nueva empresa de Rodalies al director del Metro, Òscar Playà Barcelona, 12 ene (EFE).- El Govern ha designado a Òscar Playà, actual director de la Red de Metro d...",govern situa frente nueva empresa rodalies director metro oscar playa barcelona govern designado oscar playa actual director red metro d
"Puente dice que la nueva Rodalies abre una nueva etapa ""para ofrecer un mejor servicio""","El ministro de Transportes y Movilidad Sostenible, Óscar Puente, ha asegurado que la creación de...",Economia,"Puente dice que la nueva Rodalies abre una nueva etapa ""para ofrecer un mejor servicio"" El ministro de Transportes y Movilidad Sostenible, Óscar Puente, ha asegurado que la creación de...",puente nueva rodalies abre nueva etapa ofrecer mejor servicio ministro transportes movilidad sostenible oscar puente asegurado creacion
"Illa señala que Rodalies de Catalunya ""no es un cambio de nombre, es un cambio de paradigma""","El presidente de la Generalitat, Salvador Illa, ha asegurado que la nueva empresa Rodalies de...",Economia,"Illa señala que Rodalies de Catalunya ""no es un cambio de nombre, es un cambio de paradigma"" El presidente de la Generalitat, Salvador Illa, ha asegurado que la nueva empresa Rodalies de...",illa senala rodalies catalunya cambio nombre cambio paradigma presidente generalitat salvador illa asegurado nueva empresa rodalies
"El Gobierno elude comentar el agradecimiento de Imaz a Trump y añadir ""presión"" a Repsol","Madrid, 12 ene (EFE).- El ministro de Asuntos Exteriores, José Manuel Albares, ha eludido este lunes...",Economia,"El Gobierno elude comentar el agradecimiento de Imaz a Trump y añadir ""presión"" a Repsol Madrid, 12 ene (EFE).- El ministro de Asuntos Exteriores, José Manuel Albares, ha eludido este lunes...",gobierno elude comentar agradecimiento imaz trump anadir presion repsol madrid ministro asuntos exteriores jose manuel albares eludido
"Endesa comunica a Protección de Datos una ""brecha"" de seguridad","Madrid, 12 ene (EFE).- La compañía Endesa Energía ha comunicado ya a la Agencia Española de Protecci...",Economia,"Endesa comunica a Protección de Datos una ""brecha"" de seguridad Madrid, 12 ene (EFE).- La compañía Endesa Energía ha comunicado ya a la Agencia Española de Protecci...",endesa comunica proteccion datos brecha seguridad madrid compania endesa energia comunicado agencia espanola protecci
Arrancan los trabajos de demolición en Campamento (Madrid) tras 40 años de idas y venidas,"Madrid, 12 ene (EFE).- Este lunes han comenzado los trabajos de demolición de los edificios del acua...",Economia,"Arrancan los trabajos de demolición en Campamento (Madrid) tras 40 años de idas y venidas Madrid, 12 ene (EFE).- Este lunes han comenzado los trabajos de demolición de los edificios del acua...",arrancan trabajos demolicion campamento madrid anos idas venidas madrid comenzado trabajos demolicion edificios acua
Agricultores franceses mantienen presión contra Mercosur con bloqueos en puertos y rutas,"Boucau (Francia), 12 ene (EFE/EPA).- Los agricultores franceses continúan este lunes su movilización...",Economia,"Agricultores franceses mantienen presión contra Mercosur con bloqueos en puertos y rutas Boucau (Francia), 12 ene (EFE/EPA).- Los agricultores franceses continúan este lunes su movilización...",agricultores franceses mantienen presion mercosur bloqueos puertos rutas boucau francia epa agricultores franceses continuan movilizacion
La Ertzaintza impide la tractorada de agricultores alaveses en la A-1,"Álava, 11 ene (EFE).- La Ertzaintza ha impedido este lunes que las movilizaciones convocadas por la ...",Economia,"La Ertzaintza impide la tractorada de agricultores alaveses en la A-1 Álava, 11 ene (EFE).- La Ertzaintza ha impedido este lunes que las movilizaciones convocadas por la ...",ertzaintza impide tractorada agricultores alaveses alava ertzaintza impedido movilizaciones convocadas
Albares: defensa del acuerdo con Mercosur,"Madrid, 12 ene (EFE).- El ministro español de Asuntos Exteriores, José Manuel Albares, ha elogiado e...",Economia,"Albares: defensa del acuerdo con Mercosur Madrid, 12 ene (EFE).- El ministro español de Asuntos Exteriores, José Manuel Albares, ha elogiado e...",albares defensa acuerdo mercosur madrid ministro espanol asuntos exteriores jose manuel albares elogiado e
Agricultores concentrados en Pontòs celebran una asamblea antes de la reunión con Illa,"Pontòs (Girona), 12 ene (EFE).- Los agricultores concentrados en Pontòs han celebrado esta tarde una...",Economia,"Agricultores concentrados en Pontòs celebran una asamblea antes de la reunión con Illa Pontòs (Girona), 12 ene (EFE).- Los agricultores concentrados en Pontòs han celebrado esta tarde una...",agricultores concentrados pontos celebran asamblea antes reunion illa pontos girona agricultores concentrados pontos celebrado
"La bolsa española cae el 0,5 % y continúa por debajo del nivel de los 17.600 puntos","Madrid, 12 ene (EFE).- La bolsa española bajaba el 0,52 % a mediodía y continuaba por debajo de los ...",Economia,"La bolsa española cae el 0,5 % y continúa por debajo del nivel de los 17.600 puntos Madrid, 12 ene (EFE).- La bolsa española bajaba el 0,52 % a mediodía y continuaba por debajo de los ...",bolsa espanola cae continua nivel puntos madrid bolsa espanola bajaba mediodia continuaba
"Amor (ATA) dice que no vería ""mal"" una subida del SMI de hasta el 2%","El presidente de ATA, Lorenzo Amor, ha asegurado que no ""hubieran visto mal"" una subida del salario...",Economia,"Amor (ATA) dice que no vería ""mal"" una subida del SMI de hasta el 2% El presidente de ATA, Lorenzo Amor, ha asegurado que no ""hubieran visto mal"" una subida del salario...",amor ata veria mal subida smi presidente ata lorenzo amor asegurado hubieran visto mal subida salario
Continúa la protesta de agricultores contra Mercosur en Francia,"Boucau (Francia), 12 ene (EFE/EPA).- Los agricultores franceses continúan este lunes su movilización...",Economia,"Continúa la protesta de agricultores contra Mercosur en Francia Boucau (Francia), 12 ene (EFE/EPA).- Los agricultores franceses continúan este lunes su movilización...",continua protesta agricultores mercosur francia boucau francia epa agricultores franceses continuan movilizacion
Los agricultores catalanes condicionan los cortes de carreteras a la reunión con Illa,"Barcelona, 12 ene (EFE).- Los agricultores de Girona mantienen cortada la AP-7, a la altura de Pontó...",Economia,"Los agricultores catalanes condicionan los cortes de carreteras a la reunión con Illa Barcelona, 12 ene (EFE).- Los agricultores de Girona mantienen cortada la AP-7, a la altura de Pontó...",agricultores catalanes condicionan cortes carreteras reunion illa barcelona agricultores girona mantienen cortada ap altura ponto
Lorenzo Amor (ATA) dice que no permitirán un aumento de cuotas a los autónomos en 2026,"Madrid, 12 ene (EFE).- El presidente de ATA, Lorenzo Amor, ha asegurado este lunes que su organizaci...",Economia,"Lorenzo Amor (ATA) dice que no permitirán un aumento de cuotas a los autónomos en 2026 Madrid, 12 ene (EFE).- El presidente de ATA, Lorenzo Amor, ha asegurado este lunes que su organizaci...",lorenzo amor ata permitiran aumento cuotas autonomos madrid presidente ata lorenzo amor asegurado organizaci
"Un 'hackeo' a Endesa Energía compromete datos sensibles de los clientes, incluido el DNI",Endesa Energía ha reconocido un acceso no autorizado a su plataforma comercial que ha resultado en...,Economia,"Un 'hackeo' a Endesa Energía compromete datos sensibles de los clientes, incluido el DNI Endesa Energía ha reconocido un acceso no autorizado a su plataforma comercial que ha resultado en...",hackeo endesa energia compromete datos sensibles clientes incluido dni endesa energia reconocido acceso autorizado plataforma comercial resultado
